// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
"/*         * TODO: This version is better than the hackish previous one. Windows         *       behavior needs to be defined though. I suppose this version         *       could be improved more too.         * TODO: /etc/passwd is also inadequate for MacOSX since it does not         *       use /etc/passwd for regular user accounts         */"
// line 1918
// Fix for JRUBY-1339 - search hierarchy for constant
// ..where 100 -> 10 shifts the scale
// variable args no block, load null block
// args should be at end
// line 274
/* $<: reading filename */
// we might need to perform a DST correction
// switch // for
// handle security-sensitive case
//System.err.println("byteListToInum(" + str + ")");
// single-statement body, just compile it
//////////////////// FRAME MANAGEMENT ////////////////////////
// reset buffer
// pop extra attr value
// try optz version
// FIXME: If NativeException is expected to be used from Ruby code, it should provide // a real allocator to be used. Otherwise Class.new will fail, as will marshalling. JRUBY-415
// line 413
// line 351
// handle redos by restarting the block
// setFoo(Foo) => foo=(Foo)
// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415
// line 1911
// no digits, error
// clear exception when handled or retried
// line 965
// return sqrt(squarD) with precision of rootMC
// line 529
// line 1069
// 1.9 support for encodings
// otherwise load the library we've found
// don't attempt to coerce to array, just wrap and return
// Top-level script!
// Zlib behavior: negative win_bits means no header and no checksum.
// Should positions added extra IDE-friendly information and leave in all newline nodes
// For 'b.foo()'.  Args are only significant in maintaining backwards compatible AST structure
// TODO: need to get this back into the method signature...now is too late...
// FIXME: this really ought to be in clinit, but it doesn't matter much
// 64-bit number, native (as bignum)
// Next CRef down the lexical structure
// line 1043
// clear the redo
// Equivalent of T_DATA
// line 1001
// next in hierarchy is an included version of the module we're attempting, // so we skip including it
// re-get, re-check method; if not null now, go to dispatch
// Normally we could leave these to fall back on the superclass, but // since it dispatches through the [] version below, which may // dispatch through the []+block version, we can save it a couple hops // by overriding these here.
// line 1264
// Assumption: tail is never a list node
// 2. MRI allows underscores anywhere
// Pickaxe says @ must be followed by a name character, but MRI // does not require this.
// Look in classpath next (we do not use File as a test since UNC names will match) // Note: Jar resources must NEVER begin with an '/'. (previous code said "always begin with a /")
// JRUBY-3625: delay setting backref until the MatchData is completely initialized
// line 1054
// MRI behavior:
// Define a second version that doesn't take a block, so we have unique code paths for both cases.
// line 1004
// line 552
// line 1638
// no takers; bubble up
// For 'foo'
// // Check file size - special files in /proc have zero size and need to be // handled by the generic read path. //
//System.err.println(" stringToLong=" + val);
// line 1179
// one arg, no block; do nothing
// line 633
// loop until a context is available, to clean up softrefs that might have been collected
// line 1663
// class bodies prepare their own dynamic scope, so let it do that
// line 1164
// line 1507
// line 1145
// line 1660
// TypeMatcher
// If there was a good library before, we go back to that
// boxed arg list __file__
//  hexadecimal
/* -------------- Packaged/protected fields and methods below ---------------- */
// line 1571
// default options
// the converters handle not only primitive types but also their boxed versions, so we should check // if we have a converter before checking for isPrimitive()
// generate a real method signature for the method, with to/from coercions
// TODO: better detection when path is absolute or not. // If the path isn't absolute, then prepend the current working // directory to the path.
// ok, got a non-zero, have to own up to our horded zeroes
// line 1519
// specialized for value
// we only need full-on redo exception handling if there's logic that might produce it
/* $=: ignorecase */
// line 922
// // Copy any buffered data (including ungetc byte) //
// We depart here from strict adherence to MRI code, as MRI // uses C-sprintf, in part, to format numeric output, while // we'll use Java's numeric formatting code (and our own).
// Build a dummy static method for the class -- the scope in which all definitions, and class code executes, equivalent to java clinit
// In the case of two arguments, MRI will discard the portion of // the first argument after a decimal point (i.e., "floor"). // However in the case of a single argument, any portion after // the decimal point is honored.
// ?z  | boolean | True if file1 exists and has a zero length
/* Explicitly use UTF-8 here. c.f. history.addToHistory using line.asUTF8() */
//subList.clear(); // Sublist is supposed to share same backing store as list...TODO in RubyArray. //assertTrue(list.size() == 1);
//Octal
// ?r  | boolean | True if file1 is readable by the effective uid/gid of the caller
// never visited, should be fine
// must let original string know we're modifying, so shared buffers aren't damaged
// load null block
// digits array shifted, update all
// FIXME: bit of a kludge here (non-interface classes assigned to both // class and module fields). simplifies proxy extender code, will go away // when JI is overhauled (and proxy extenders are deprecated).
//        return new CallOneArgNode(firstNode.getPosition(), firstNode, operator, new ArrayNode(secondNode.getPosition(), secondNode));
// getFooBar() => fooBar?, foo_bar?(*)
// line 636
// Estimate the square root with the foremost 62 bits of squarD // bi and scale are a tandem
// line 563
// line 958
// line 572
// Wire up Function#call(*args) to use the super-fast native invokers
// double-check the cache now that we're synchronized
// line 706
// setup the class
// There's not a compelling reason to keep JavaClass instances in a weak map // (any proxies created are [were] kept in a non-weak map, so in most cases they will // stick around anyway), and some good reasons not to (JavaClass creation is // expensive, for one; many lookups are performed when passing parameters to/from // methods; etc.). // TODO: faster custom concurrent map
// line 506
// in debug mode we append _DBG to class name to force it to regenerate (or use pre-generated debug version)
// line 1784
// There are two different popular TZ formats: legacy (AST+3:00:00, GMT-3), and // newer one (US/Pacific, America/Los_Angeles). This pattern is to detect // the legacy TZ format in order to convert it to the newer format // understood by Java API.
/*package-protected*/
// Map of constants defined in this scope (not valid for methods!)
// can't set TC classloader
// initialize this if it hasn't been
// next as regular file
// line 696
//assertEquals("\"foo\"\n\"bar\"", eval("$h.each {|val| p val}")); //assertEquals("[\"foo\", \"bar\"]", eval("p $h.each {|val| }"));
// line 1392
// captures // begin and end are used when not groups defined // source string
// thread is not alive, skip it
// inner switch
// line 1251
// If \r\n then just pass along \n (windows).  // If \r[^\n] then pass along \n (MAC).
// MRI behavior: just plain '//' or '\\\\' are considered illegal on Windows.
// rb_enc_str_asciionly_p
// line 540
// The cache is full. Abandon JIT for this method and bail out.
// Create the class with the appropriate class name and source file
// TODO: factor this chunk as in MRI/YARV GETASTER
// line 1556
// fields used for direct (optimistic) calculation // number of significant digits, updated as parsed // zeroes that may go to significand or exponent // offset of decimal pt from start (-1 -> no decimal) // significand, updated as parsed // exponent, updated as parsed
// only arrays that are "lightweight" are being used as args arrays
// promise to implement one to three
// List of active dynamic scopes.  Each of these may have captured other dynamic scopes // to implement closures.
// No or mismatched braces..Move along..nothing to see here
// exception instructions
// Check the visibility of the previous frame, which will be the frame in which the class is being eval'ed
//  See http://www.gzip.org/zlib/rfc-gzip.html
// line 1738
// Do we have a dynamic container?
// TODO: handle errors in buffered write by retrying until finished or file is closed
/* FIXME: finalizer should be dupped here */
// line 1440
/* ----------- Public abstract methods ---------- */
// ARGF methods
// fill local vars with nil, to avoid checking every access.
// string to eval
// an empirically derived rule: precision applies to // significand length, irrespective of exponent
// open up the 'to_java' and 'as' coercion methods on Ruby Objects, via Kernel
"/* Array constructors taking the MetaClass to fulfil MRI Array subclass behaviour     *      */"
// line 1812
// ThreadContext
// determine spacing
// TODO: do above but not below for additional newline nodes
// MRI behavior: -0 and +0 are two different things
// Give a name to a value.  Enebo: This should be used more.
// after defn of $stderr as the call may produce warnings
// utility method
// create dir if necessary
// must be called under lock
// need to skip IncludedModuleWrappers
// just in case, add a bit of extra precision
// ignore compiler pragmas
// skip anything not related to jruby
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// ?w  | boolean | True if file1 exists and is writable by effective uid/gid
// TODO: Make sure all appropriate open flags are added to this check.
// By default, the container for this class is 's'
// TODO: check for Java reserved names and raise exception if encountered
// script object
// if we haven't already decided on a do-nothing call
// line 152 "-" // %token constants
// only public methods
// FIXME: Ideally JavaObject instances should be marshallable, which means that // the JavaObject metaclass should have an appropriate allocator. JRUBY-414
// line 1677
// indirect read-/write- volatile
// line 1114
// otherwise decrement and possibly close as normal
// line 1298
// line 587
// Zlib::NO_FLUSH
"/* The Java method doesn't care what class it is, but we need to               know what to convert it to, so we use the object's own class.               If that doesn't help, we use String to force a call to the               object's ""to_s"" method. */"
// line 1577
// if we haven't encountered a real superclass, use the found module as the new inclusion point
// first, check if the sender has unreceived mail
// line 411
// CASE IR instructions are dummy instructions  // -- all when/then clauses have been converted into if-then-else blocks
// SYNC_FLUSH
// are we recursing?
// method is done, declare all variables
// look for mangling markers for compiled Ruby in method name
// TODO: Only used by interface implementation; eliminate it
// get attr
// we check length == 0 for 'load', which does not use load path
// if there's args left and we want them, assign to rest arg
// last conditional case, use defaultCase
// SSS FIXME: Are we guaranteed that we splats dont head to multiple-assignment nodes!  i.e. |*(a,b)|?
// line 811
"/* Ruby arrays default to holding 16 elements, so we create an         * ArrayList of the same size if we're not told otherwise         */"
// invoke specific arity version
// Sockaddr_un has different structure on different platforms. // See JRUBY-2213 for more details.
//yyDgoto 136
// load static empty array
// must be a public class
// line 699
// Try to load from classpath without prefix. "A/b.rb" will not load as  // "./A/b.rb" in a jar file.
// promise to implement one to N
// jump and branch operations
// internal usage (Complex/Rational)
// Found end marker for this heredoc
// ignore; I don't like doing it, but it seems like we // really just need to make all channels non-blocking by // default and use select when implementing blocking ops, // so if this remains set non-blocking, perhaps it's not // such a big deal...
// block argument to the method // closure present // class present // method table mutations, def, defs, undef, alias // likely call to eval // makes calls that are aware of the frame // makes calls that are aware of the frame's self // makes calls that are aware of the frame's visibility // makes calls that are aware of the frame's block // makes calls that are aware of the frame's name // makes calls that set or get backref // makes calls that set or get lastline // makes calls that are aware of the frame's class // optional arguments to the method // rest arg to the method // makes calls that are aware of the scope // makes a zero-argument super call // accesses or sets constants // accesses or sets class variables // makes normal super call // contains a retry
// grrr, arghh, want to subclass sun.misc.FloatingDecimal, but can't, // so we must do all this (the next 70 lines of code), which has already // been done by FloatingDecimal.
// field is null, lock class and try to populate
// line 324
// Class.allocate object is not allocatable before it is initialized
// Optimize some core class method calls for constant values
// upper case name, so most likely a class
// // INSTANCE VARIABLE RUBY METHODS //
/* root fiber */
// for zero args case we can stop searching
// SSS FIXME: Deprecated!  Going forward, all instructions should come from the CFG
// line 492
// If there are N slashes, then we want N-1.
// no need to assign encoding, same bytelist shared
// line 899
// TODO: warn "tried to create Proc object without a block"
// FIXME: Obvious issue that not all platforms can display all attributes.  Ugly hacks. // Using generic posix library makes pushing inspect behavior into specific system impls // rather painful.
//this test may be too lax but it is the same as in MRI
// Put back lastLine for any elements past start of heredoc marker
// not overridden, let's go
// line 1070
// line 586
// for regular expressions with the /o flag
// DEBUGGING HELP
// line 574
// set the binding's frame's "previous" file and line to current, so // trace will show who called the block
// TODO: Should frozen error have its own distinct class?  If not should more share?
// extension extensions
/* rb_str_splice */
// line 763
// FIXME: wtf is this? Why would these use the class?
// Initialize all the core classes
// We're not actually a real file, so we can't flock
/* Lattice TOP, BOTTOM, ANY values -- these will be used during dataflow analyses */
// up to ten, stuff into tmp locals, load in reverse order, and assign // FIXME: There's probably a slightly smarter way, but is it important?
// line 354
// line 732
// Build the class body!
// build descriptor string
// for our purposes, Accessibles are also Members, and vice-versa, // so we'll include Member methods here.
// line 1607
// This looks wrong, but it's the way MRI does it.
// Java requires "w" for creating a file that does not exist
// MUST be called from synchronized/locked block! // should only be called by variableTableStore/variableTableFastStore
// reverse the entire area of the array selected if it's reversed.
// TODO: ruby locks the string here
// Initial x - use double root - multiply by halfBack to unshift - set new scale
